Fe,C,Si,Mn,Cr,Ni,Mo,P,S,test_temperature_C,impact_energy_J,KCV_J_cm2,transition_temp_C,ductile_fraction_percent,specimen_type
94.92,0.406,0.76,0.85,0.97,1.15,0.89,0.0111,0.027,20,4.0,5.0,90.1,0.9,Charpy_V
89.73,0.312,0.71,1.49,4.83,2.27,0.63,0.0212,0.0088,-40,4.0,5.0,109.2,0.0,Charpy_V
88.52,0.065,0.2,1.72,4.15,4.73,0.56,0.0309,0.0256,-40,4.1,5.1,93.3,0.0,Charpy_V
92.28,0.384,0.99,1.44,3.8,0.6,0.47,0.0136,0.0274,0,18.5,23.2,110.9,0.1,Charpy_V
91.63,0.436,0.85,0.69,1.89,3.96,0.53,0.0171,0.0057,20,4.0,5.0,101.3,0.4,Charpy_V
89.73,0.74,0.74,0.51,2.9,4.55,0.8,0.0175,0.0289,0,5.6,7.0,100.5,0.1,Charpy_V
92.9,0.791,0.56,1.03,1.43,2.38,0.87,0.0063,0.0294,100,15.5,19.3,62.9,92.2,Charpy_V
96.29,0.498,0.4,0.68,1.38,0.25,0.48,0.0067,0.023,20,4.0,5.0,65.7,4.5,Charpy_V
88.86,0.78,0.73,1.14,3.88,3.69,0.89,0.0111,0.0265,0,4.0,5.0,84.2,0.4,Charpy_V
89.27,0.404,0.23,1.51,3.32,4.81,0.44,0.013,0.0065,100,55.9,69.8,59.7,93.6,Charpy_V
88.5,0.416,0.6,1.48,4.84,3.92,0.22,0.0141,0.0074,100,34.5,43.1,81.7,77.2,Charpy_V
92.79,0.186,0.33,1.81,1.63,2.83,0.4,0.0072,0.0141,0,4.0,5.0,45.2,4.7,Charpy_V
87.67,0.334,0.8,1.59,3.99,4.77,0.8,0.0172,0.0255,0,5.6,7.0,95.9,0.2,Charpy_V
96.92,0.258,0.37,0.68,0.72,0.92,0.06,0.0317,0.0283,-20,4.0,5.0,122.1,0.0,Charpy_V
92.3,0.293,0.3,0.44,3.54,2.52,0.57,0.0192,0.0171,20,4.0,5.0,84.7,1.3,Charpy_V
90.83,0.736,0.13,1.66,1.95,3.72,0.95,0.0142,0.0072,0,4.0,5.0,66.6,1.2,Charpy_V
92.54,0.507,0.43,1.44,1.18,3.5,0.35,0.0187,0.0189,100,4.0,5.0,89.7,66.5,Charpy_V
90.65,0.229,0.85,1.53,1.17,4.87,0.66,0.0186,0.0089,100,33.9,42.4,99.0,51.6,Charpy_V
92.04,0.357,0.75,0.63,4.11,1.63,0.44,0.0282,0.0206,-40,4.0,5.0,129.8,0.0,Charpy_V
93.97,0.714,0.17,1.02,2.67,0.62,0.81,0.0095,0.0146,20,4.0,5.0,66.2,4.4,Charpy_V
95.22,0.493,0.76,1.6,1.51,0.34,0.04,0.028,0.0146,100,10.4,13.0,140.4,6.3,Charpy_V
93.43,0.625,0.64,1.15,3.12,0.69,0.32,0.0162,0.0129,-20,12.8,16.0,106.1,0.0,Charpy_V
93.11,0.228,0.34,0.68,3.44,1.75,0.41,0.0263,0.0293,0,4.6,5.7,104.6,0.1,Charpy_V
91.68,0.671,0.39,0.81,1.53,4.06,0.83,0.0149,0.0198,-40,4.0,5.0,78.4,0.0,Charpy_V
94.23,0.188,0.57,1.44,0.38,2.89,0.25,0.0252,0.0253,-40,4.0,5.0,107.2,0.0,Charpy_V
94.95,0.533,0.26,1.64,1.5,0.67,0.42,0.0077,0.0116,100,5.7,7.1,60.6,93.3,Charpy_V
95.77,0.339,0.37,0.33,0.98,1.98,0.2,0.0231,0.0162,20,4.0,5.0,100.1,0.5,Charpy_V
91.91,0.338,0.88,0.58,4.42,1.71,0.13,0.023,0.0144,-20,9.6,12.0,123.7,0.0,Charpy_V
90.27,0.205,0.99,1.83,1.43,4.46,0.75,0.0329,0.0223,0,4.0,5.0,137.2,0.0,Charpy_V
95.0,0.138,0.16,0.83,0.68,2.63,0.52,0.0223,0.0236,100,13.9,17.4,81.8,77.1,Charpy_V
96.44,0.774,0.28,0.63,0.16,1.65,0.02,0.02,0.0176,-40,4.0,5.0,97.0,0.0,Charpy_V
91.4,0.23,0.85,1.09,2.17,3.49,0.71,0.0279,0.0258,-20,4.0,5.0,124.2,0.0,Charpy_V
91.67,0.691,0.17,1.28,3.51,2.41,0.26,0.0148,0.0068,-40,4.0,5.0,74.1,0.0,Charpy_V
90.4,0.083,0.75,1.83,3.17,3.28,0.47,0.0097,0.0052,-40,4.0,5.0,68.5,0.1,Charpy_V
89.47,0.384,0.48,1.36,3.67,3.92,0.65,0.0181,0.0288,0,4.0,5.0,87.5,0.3,Charpy_V
95.73,0.208,0.89,1.13,1.12,0.21,0.68,0.0114,0.0297,-20,7.7,9.6,99.7,0.0,Charpy_V
89.25,0.256,0.84,0.82,4.94,3.03,0.84,0.0072,0.0137,-40,4.0,5.0,68.4,0.1,Charpy_V
94.79,0.151,0.11,1.05,0.2,3.05,0.61,0.032,0.0098,100,6.0,7.5,99.6,50.7,Charpy_V
92.83,0.772,0.24,1.85,2.14,1.89,0.23,0.0241,0.0221,-20,4.0,5.0,103.6,0.0,Charpy_V
88.33,0.224,0.98,1.27,4.53,4.3,0.33,0.0211,0.0158,20,10.6,13.3,112.2,0.2,Charpy_V
94.72,0.063,0.62,1.8,1.09,0.92,0.77,0.0127,0.0098,-40,4.0,5.0,81.7,0.0,Charpy_V
91.74,0.344,0.89,1.35,2.03,2.67,0.95,0.0084,0.0102,-40,9.2,11.5,78.3,0.0,Charpy_V
90.44,0.069,0.33,0.58,4.78,3.53,0.23,0.0112,0.0265,100,60.5,75.6,54.0,95.6,Charpy_V
94.24,0.798,0.58,0.94,1.93,0.97,0.51,0.0182,0.0118,20,7.9,9.9,109.1,0.3,Charpy_V
92.43,0.435,0.35,0.66,1.48,4.24,0.38,0.0136,0.0251,-40,4.4,5.5,68.7,0.1,Charpy_V
92.9,0.612,0.69,1.54,0.44,3.63,0.14,0.0152,0.0286,100,4.0,5.0,92.7,61.9,Charpy_V
93.47,0.523,0.17,0.6,1.29,3.74,0.16,0.0304,0.0083,20,4.0,5.0,104.2,0.4,Charpy_V
93.54,0.709,0.63,1.82,0.58,2.27,0.43,0.0151,0.005,20,4.0,5.0,96.0,0.6,Charpy_V
89.21,0.334,0.93,1.35,3.02,4.57,0.56,0.0229,0.0136,0,4.0,5.0,116.1,0.0,Charpy_V
94.97,0.29,0.6,0.77,0.83,2.27,0.22,0.032,0.0126,100,4.0,5.0,127.2,14.0,Charpy_V
91.88,0.469,0.95,1.33,1.52,3.19,0.62,0.0229,0.009,0,4.0,5.0,123.5,0.0,Charpy_V
92.04,0.104,0.53,1.77,0.6,4.65,0.27,0.021,0.0067,0,4.0,5.0,88.2,0.3,Charpy_V
90.28,0.478,0.63,1.62,3.08,2.97,0.91,0.0186,0.0106,0,4.0,5.0,99.7,0.1,Charpy_V
91.04,0.274,1.0,1.03,4.44,1.64,0.53,0.0306,0.0201,100,12.0,15.0,144.1,5.0,Charpy_V
91.2,0.299,0.62,0.47,4.68,1.68,1.0,0.0344,0.0245,100,4.8,6.0,135.2,8.8,Charpy_V
94.13,0.765,0.14,0.4,0.45,3.88,0.19,0.0268,0.016,-40,4.0,5.0,98.1,0.0,Charpy_V
88.07,0.527,0.94,1.31,4.29,4.31,0.52,0.0154,0.021,-40,4.0,5.0,101.4,0.0,Charpy_V
91.75,0.184,0.17,1.72,4.88,0.44,0.81,0.0308,0.008,-20,4.0,5.0,113.1,0.0,Charpy_V
93.39,0.772,0.49,1.43,2.66,0.27,0.95,0.0288,0.0087,-20,4.0,5.0,134.6,0.0,Charpy_V
86.46,0.702,0.94,1.67,4.79,4.77,0.62,0.0268,0.0225,20,4.0,5.0,130.3,0.1,Charpy_V
92.8,0.237,0.9,1.27,3.03,0.84,0.86,0.0329,0.0244,100,5.4,6.7,147.7,4.0,Charpy_V
90.07,0.653,0.38,0.84,4.35,2.8,0.89,0.0174,0.0136,-20,4.0,5.0,88.4,0.1,Charpy_V
89.58,0.176,0.27,0.97,4.81,3.82,0.32,0.0335,0.0211,-40,4.0,5.0,108.0,0.0,Charpy_V
91.02,0.442,0.75,0.74,4.67,2.05,0.29,0.0151,0.0137,-40,4.8,6.0,98.3,0.0,Charpy_V
88.97,0.771,0.45,1.83,4.1,3.19,0.65,0.0075,0.0288,-40,13.3,16.6,60.2,0.1,Charpy_V
89.99,0.472,0.4,1.03,3.05,4.54,0.46,0.0346,0.0198,100,6.6,8.2,119.3,21.6,Charpy_V
92.43,0.088,0.53,0.55,2.17,3.75,0.46,0.0099,0.0113,100,83.7,104.7,58.3,94.1,Charpy_V
95.17,0.102,0.63,1.33,0.31,2.01,0.41,0.015,0.0189,0,10.9,13.6,85.0,0.3,Charpy_V
92.26,0.172,0.66,1.16,1.53,3.64,0.55,0.0193,0.0217,100,23.8,29.7,94.4,59.2,Charpy_V
95.9,0.3,0.19,1.25,0.56,0.78,0.98,0.0145,0.0196,20,4.0,5.0,75.3,2.4,Charpy_V
94.12,0.553,0.54,1.04,1.45,1.91,0.35,0.0244,0.0079,100,14.3,17.9,114.6,27.5,Charpy_V
93.99,0.45,0.77,1.27,2.97,0.51,0.0,0.0064,0.0292,20,4.0,5.0,77.9,2.1,Charpy_V
90.93,0.197,0.8,1.4,3.06,3.34,0.24,0.0183,0.0208,100,13.2,16.5,99.7,50.6,Charpy_V
93.65,0.084,0.94,0.48,0.25,4.45,0.1,0.0289,0.0237,0,4.0,5.0,123.5,0.0,Charpy_V
92.52,0.19,0.98,1.52,1.25,2.95,0.53,0.0303,0.0232,0,4.0,5.0,135.9,0.0,Charpy_V
94.76,0.209,0.68,0.37,0.34,3.57,0.02,0.0224,0.026,100,13.2,16.5,103.8,43.7,Charpy_V
88.59,0.671,0.46,1.71,3.62,4.6,0.33,0.0082,0.0158,0,4.0,5.0,57.9,2.1,Charpy_V
89.33,0.4,0.58,1.58,3.9,3.21,0.94,0.0345,0.0287,-40,8.0,10.0,129.7,0.0,Charpy_V
96.13,0.128,0.34,0.31,0.69,2.2,0.15,0.032,0.0251,0,10.1,12.6,112.3,0.1,Charpy_V
92.51,0.319,0.48,1.3,3.87,0.68,0.8,0.0233,0.0295,0,4.0,5.0,111.9,0.1,Charpy_V
89.98,0.645,0.35,1.16,2.82,4.72,0.27,0.0331,0.0251,20,11.1,13.8,116.4,0.2,Charpy_V
94.97,0.311,0.78,0.52,2.27,0.93,0.19,0.008,0.0158,20,4.0,5.0,79.3,1.9,Charpy_V
93.37,0.449,0.35,0.46,2.33,2.95,0.05,0.0171,0.0114,0,4.0,5.0,83.0,0.4,Charpy_V
93.59,0.535,0.91,1.85,0.46,1.82,0.79,0.0261,0.0057,0,4.0,5.0,134.8,0.0,Charpy_V
94.41,0.17,0.46,1.24,0.15,3.14,0.4,0.0053,0.0218,100,83.3,104.1,41.0,98.1,Charpy_V
91.08,0.725,0.73,1.9,1.25,3.47,0.81,0.0261,0.0103,100,4.0,5.0,123.3,17.5,Charpy_V
90.34,0.707,0.86,0.6,4.52,2.2,0.72,0.0294,0.0176,-40,11.7,14.6,140.3,0.0,Charpy_V
88.02,0.457,0.81,0.94,4.98,4.73,0.01,0.0319,0.022,-40,9.2,11.5,131.5,0.0,Charpy_V
93.77,0.763,0.6,0.61,3.2,0.38,0.64,0.0293,0.0138,20,4.0,5.0,139.4,0.0,Charpy_V
89.22,0.569,0.41,0.72,3.45,4.85,0.75,0.0197,0.02,-20,4.0,5.0,88.5,0.1,Charpy_V
94.27,0.325,0.69,0.82,1.19,2.44,0.22,0.0195,0.0289,20,8.4,10.5,103.6,0.4,Charpy_V
91.24,0.522,0.12,1.37,4.76,1.18,0.78,0.0138,0.0227,20,4.0,5.0,72.0,3.0,Charpy_V
91.74,0.694,0.44,1.51,3.37,1.29,0.92,0.0219,0.0139,-20,4.0,5.0,109.4,0.0,Charpy_V
89.39,0.405,0.76,1.36,3.64,3.96,0.44,0.0206,0.0297,-40,13.8,17.2,105.9,0.0,Charpy_V
94.02,0.251,0.24,1.61,2.18,0.89,0.76,0.0325,0.0283,20,4.0,5.0,117.7,0.1,Charpy_V
87.77,0.41,0.23,1.65,4.73,4.45,0.75,0.0051,0.0152,100,58.3,72.9,31.0,99.0,Charpy_V
90.79,0.348,0.5,1.35,4.5,1.65,0.85,0.0078,0.006,-20,4.0,5.0,62.9,0.4,Charpy_V
93.82,0.266,0.16,0.95,1.83,2.35,0.56,0.0348,0.0239,-20,4.0,5.0,112.1,0.0,Charpy_V
91.75,0.513,0.91,1.64,0.97,3.67,0.5,0.0274,0.0174,100,10.3,12.8,130.6,11.5,Charpy_V
94.33,0.099,0.19,0.86,1.86,2.31,0.34,0.006,0.0089,-40,4.0,5.0,33.1,0.8,Charpy_V
93.62,0.449,0.66,1.39,2.93,0.89,0.03,0.0151,0.0157,-20,7.0,8.8,100.3,0.0,Charpy_V
95.5,0.661,0.41,1.85,0.77,0.28,0.48,0.0107,0.0284,0,5.9,7.3,83.1,0.4,Charpy_V
94.72,0.338,0.18,0.81,2.49,0.93,0.47,0.0301,0.0268,0,4.0,5.0,112.2,0.1,Charpy_V
90.43,0.719,0.23,1.26,4.85,1.73,0.74,0.0315,0.0097,-40,4.0,5.0,118.9,0.0,Charpy_V
93.5,0.183,0.26,1.35,2.82,0.88,0.99,0.0177,0.0074,-20,4.0,5.0,83.9,0.1,Charpy_V
89.81,0.488,0.98,1.27,4.75,2.22,0.44,0.02,0.0224,-40,4.0,5.0,121.4,0.0,Charpy_V
92.38,0.773,0.71,1.97,2.66,1.01,0.44,0.0344,0.0143,-40,9.8,12.2,150.0,0.0,Charpy_V
89.01,0.286,0.51,1.75,3.89,4.26,0.27,0.0228,0.0121,20,4.0,5.0,97.0,0.6,Charpy_V
91.42,0.551,0.68,1.68,0.7,3.92,1.0,0.0305,0.0238,-40,4.0,5.0,126.9,0.0,Charpy_V
90.01,0.401,0.63,1.72,2.72,3.69,0.79,0.0204,0.0184,-40,4.0,5.0,100.4,0.0,Charpy_V
94.55,0.063,0.44,1.67,2.71,0.05,0.47,0.0137,0.0169,0,4.0,5.0,85.6,0.3,Charpy_V
92.46,0.508,0.45,1.17,3.81,1.12,0.44,0.0271,0.0149,20,4.0,5.0,119.7,0.1,Charpy_V
89.8,0.678,0.2,1.17,2.61,4.86,0.65,0.0136,0.011,100,7.3,9.1,64.4,91.5,Charpy_V
92.27,0.636,0.51,1.99,1.93,2.32,0.3,0.0121,0.0281,100,16.2,20.3,80.6,78.4,Charpy_V
92.75,0.774,0.17,0.75,1.0,4.35,0.18,0.0142,0.0186,100,4.0,5.0,67.2,89.9,Charpy_V
92.37,0.36,0.74,1.78,0.91,3.43,0.35,0.0344,0.0125,-20,4.0,5.0,135.4,0.0,Charpy_V
91.37,0.083,0.73,1.54,2.3,3.38,0.54,0.0239,0.0199,-40,4.0,5.0,106.5,0.0,Charpy_V
91.92,0.2,0.34,1.05,2.23,3.87,0.37,0.0099,0.0113,100,76.5,95.6,52.8,95.9,Charpy_V
95.59,0.398,0.35,1.83,0.44,0.72,0.64,0.0305,0.0074,-20,10.6,13.3,122.6,0.0,Charpy_V
93.58,0.607,0.62,1.13,1.61,1.76,0.67,0.007,0.0196,0,4.0,5.0,68.7,1.0,Charpy_V
92.15,0.34,0.9,1.75,2.99,1.36,0.48,0.0172,0.0138,-40,10.0,12.6,111.8,0.0,Charpy_V
93.65,0.669,0.93,0.37,3.72,0.18,0.45,0.0188,0.0224,0,4.0,5.0,131.1,0.0,Charpy_V
92.21,0.703,0.8,1.49,0.7,3.29,0.77,0.0222,0.0273,-40,4.0,5.0,117.8,0.0,Charpy_V
94.88,0.232,0.88,1.36,0.01,1.77,0.86,0.0058,0.0051,-20,22.5,28.1,68.5,0.3,Charpy_V
94.07,0.299,0.32,1.69,0.53,2.44,0.63,0.0081,0.018,-40,8.0,10.0,52.2,0.2,Charpy_V
95.4,0.151,0.36,1.95,0.26,1.75,0.08,0.0306,0.0226,100,4.0,5.0,112.7,30.0,Charpy_V
93.79,0.052,0.35,1.17,3.32,1.14,0.14,0.011,0.0139,-40,4.0,5.0,62.7,0.1,Charpy_V
96.09,0.147,0.4,1.61,0.53,1.15,0.01,0.0341,0.0198,0,4.0,5.0,124.0,0.0,Charpy_V
92.51,0.496,0.22,0.98,2.84,2.79,0.12,0.006,0.025,-40,4.0,5.0,41.2,0.4,Charpy_V
91.33,0.198,0.53,1.06,2.58,3.57,0.68,0.0162,0.0269,-20,4.0,5.0,81.4,0.1,Charpy_V
91.73,0.145,0.16,1.48,2.47,3.09,0.88,0.0272,0.0165,20,4.0,5.0,91.9,0.8,Charpy_V
90.54,0.279,0.35,1.78,4.32,2.67,0.02,0.0118,0.021,-40,12.6,15.7,65.6,0.1,Charpy_V
89.93,0.25,0.45,0.76,4.1,3.62,0.87,0.0101,0.0068,-40,4.0,5.0,60.0,0.1,Charpy_V
91.43,0.536,0.82,1.24,0.86,4.9,0.18,0.0323,0.0102,20,6.4,8.0,133.5,0.1,Charpy_V
93.61,0.716,0.84,0.94,0.02,3.41,0.41,0.0277,0.0249,0,4.0,5.0,131.9,0.0,Charpy_V
89.34,0.611,0.86,1.88,2.91,3.89,0.49,0.0062,0.0089,20,4.0,5.0,68.5,3.8,Charpy_V
93.48,0.087,0.85,0.41,4.44,0.63,0.07,0.0219,0.0176,20,4.0,5.0,119.5,0.1,Charpy_V
92.68,0.481,0.36,1.43,2.51,1.67,0.83,0.0268,0.0148,20,4.0,5.0,111.8,0.2,Charpy_V
94.67,0.506,0.54,1.27,0.56,2.16,0.28,0.0076,0.0098,0,4.0,5.0,64.4,1.3,Charpy_V
90.28,0.764,0.18,0.4,3.02,4.83,0.5,0.0065,0.0105,-40,4.0,5.0,39.6,0.5,Charpy_V
96.02,0.729,0.56,1.44,0.34,0.27,0.59,0.0316,0.0182,100,4.0,5.0,143.1,5.4,Charpy_V
91.16,0.753,0.19,1.64,1.82,3.48,0.93,0.0205,0.0056,20,4.0,5.0,87.2,1.1,Charpy_V
89.84,0.574,0.67,1.9,3.98,2.79,0.21,0.0185,0.0223,-40,4.0,5.0,103.1,0.0,Charpy_V
97.37,0.504,0.57,0.33,0.36,0.78,0.05,0.017,0.0134,20,6.0,7.5,103.1,0.4,Charpy_V
91.48,0.095,0.96,0.47,3.94,2.59,0.43,0.0134,0.026,20,4.0,5.0,92.5,0.8,Charpy_V
93.5,0.606,0.34,1.26,1.39,1.94,0.91,0.0307,0.0179,100,4.0,5.0,119.8,21.1,Charpy_V
96.18,0.059,0.58,0.68,1.6,0.11,0.75,0.0335,0.0105,20,4.0,5.0,136.2,0.0,Charpy_V
89.8,0.616,0.61,1.58,4.3,2.43,0.62,0.0211,0.0191,100,4.0,5.0,108.8,35.8,Charpy_V
94.11,0.625,0.22,0.83,0.13,3.23,0.81,0.0334,0.0222,-40,14.0,17.5,115.2,0.0,Charpy_V
93.71,0.722,0.94,1.14,0.55,2.33,0.56,0.0239,0.0297,-40,4.0,5.0,131.9,0.0,Charpy_V
89.07,0.281,0.85,1.89,4.37,2.61,0.88,0.0326,0.0152,-20,4.0,5.0,137.8,0.0,Charpy_V
94.31,0.255,0.7,0.55,3.37,0.18,0.6,0.0244,0.0111,-40,4.0,5.0,127.3,0.0,Charpy_V
90.41,0.708,0.21,1.35,3.0,4.3,0.0,0.0107,0.0105,-20,4.0,5.0,57.2,0.6,Charpy_V
90.67,0.065,0.42,1.44,2.64,4.72,0.02,0.0181,0.0217,-40,4.0,5.0,74.3,0.0,Charpy_V
91.97,0.746,0.7,1.0,3.4,2.01,0.11,0.0266,0.0256,20,7.2,9.1,128.6,0.1,Charpy_V
90.3,0.189,0.24,0.36,4.46,3.76,0.63,0.0328,0.0194,0,4.0,5.0,105.7,0.1,Charpy_V
92.49,0.281,0.44,1.65,0.96,3.63,0.49,0.035,0.0244,0,4.0,5.0,121.1,0.0,Charpy_V
94.44,0.142,0.56,0.51,2.46,1.35,0.49,0.0335,0.0122,20,4.0,5.0,128.5,0.1,Charpy_V
91.88,0.655,0.82,1.14,2.36,2.9,0.22,0.0208,0.0053,-40,4.0,5.0,116.1,0.0,Charpy_V
93.89,0.74,0.28,1.53,2.9,0.25,0.37,0.0196,0.0217,-20,10.1,12.6,104.5,0.0,Charpy_V
90.13,0.291,0.54,1.91,4.73,1.54,0.81,0.0228,0.0294,100,8.7,10.9,108.1,36.8,Charpy_V
94.74,0.191,0.72,0.86,1.63,1.35,0.45,0.0282,0.0259,20,18.3,22.9,126.5,0.1,Charpy_V
89.71,0.518,0.22,0.96,3.53,4.86,0.17,0.0173,0.0074,20,4.0,5.0,73.2,2.8,Charpy_V
95.41,0.601,0.16,0.98,0.43,1.81,0.57,0.0314,0.0121,-40,4.0,5.0,113.5,0.0,Charpy_V
93.48,0.652,0.14,1.32,2.64,1.46,0.26,0.0224,0.0227,-40,4.2,5.2,96.0,0.0,Charpy_V
87.95,0.111,0.27,1.47,4.51,4.82,0.84,0.0113,0.0121,-20,5.3,6.6,49.5,1.0,Charpy_V
92.52,0.314,0.77,0.74,2.54,2.76,0.33,0.0192,0.012,100,12.2,15.2,104.8,42.1,Charpy_V
94.2,0.262,0.18,1.47,2.59,1.03,0.23,0.0053,0.0295,100,36.5,45.6,39.5,98.3,Charpy_V
91.97,0.558,0.78,1.46,3.78,0.85,0.56,0.0305,0.0055,100,4.0,5.0,143.2,5.3,Charpy_V
90.4,0.606,0.24,1.35,4.35,2.29,0.72,0.0296,0.0084,0,4.0,5.0,111.9,0.1,Charpy_V
95.67,0.19,0.21,0.74,0.52,2.57,0.07,0.0117,0.016,20,10.8,13.5,57.3,7.7,Charpy_V
95.34,0.098,0.18,0.54,3.56,0.15,0.08,0.0333,0.0071,20,4.0,5.0,119.2,0.1,Charpy_V
89.12,0.385,0.8,1.51,3.04,4.68,0.42,0.0293,0.0145,0,5.7,7.2,124.8,0.0,Charpy_V
93.47,0.562,0.26,0.81,3.68,0.82,0.34,0.025,0.0284,20,7.7,9.7,109.0,0.3,Charpy_V
94.24,0.458,0.16,0.47,2.77,1.64,0.22,0.019,0.0217,-40,4.1,5.1,84.7,0.0,Charpy_V
91.06,0.604,0.76,1.97,1.48,3.22,0.86,0.0224,0.0247,20,4.0,5.0,115.7,0.2,Charpy_V
92.14,0.789,0.82,1.78,3.47,0.93,0.03,0.0309,0.0149,20,4.0,5.0,148.7,0.0,Charpy_V
92.74,0.171,0.47,0.99,1.78,2.81,1.0,0.0127,0.0226,-20,4.0,5.0,70.4,0.2,Charpy_V
88.83,0.479,0.96,0.88,3.2,4.8,0.8,0.0256,0.0293,-20,4.0,5.0,125.3,0.0,Charpy_V
90.94,0.58,0.42,0.67,4.58,2.13,0.65,0.006,0.0154,-20,4.0,5.0,53.8,0.7,Charpy_V
88.81,0.449,0.77,0.71,4.62,4.33,0.25,0.0347,0.0217,100,5.2,6.6,136.2,8.2,Charpy_V
97.61,0.052,0.94,0.53,0.2,0.28,0.35,0.0236,0.0151,-20,4.0,5.0,129.0,0.0,Charpy_V
89.12,0.58,0.87,1.91,4.58,2.03,0.9,0.005,0.0138,-20,4.0,5.0,69.2,0.3,Charpy_V
91.28,0.331,0.43,1.95,1.16,4.09,0.71,0.0052,0.0298,20,11.5,14.3,39.8,21.1,Charpy_V
