Fe,C,Si,Mn,Cr,Ni,Mo,V,tensile_strength_MPa,fatigue_limit_MPa,fatigue_ratio,basquin_exponent,cycles_to_failure_1e6,test_type,R_ratio
82.8,0.995,1.09,0.44,1.53,11.84,1.12,0.185,1877.4,946.0,0.504,-0.0582,8.0,rotating_bending,-1.0
75.6,0.916,0.63,0.44,13.99,6.7,1.27,0.453,1997.9,952.1,0.477,-0.0869,8.0,axial,-1.0
85.85,0.996,1.14,1.46,4.28,4.8,1.43,0.041,1818.2,883.9,0.486,-0.0888,8.0,axial,-1.0
74.95,1.165,0.16,1.81,9.5,11.92,0.22,0.277,2174.8,1120.8,0.515,-0.0733,8.0,torsion,-1.0
88.99,0.772,0.92,1.83,0.82,3.37,2.85,0.445,1635.6,792.5,0.485,-0.0778,8.0,axial,0.0
87.35,0.497,0.42,0.75,6.49,3.12,1.36,0.016,1243.8,625.7,0.503,-0.0987,7.14,rotating_bending,0.0
75.26,0.138,1.42,1.01,10.46,11.03,0.25,0.438,1218.8,627.7,0.515,-0.1051,6.74,rotating_bending,0.0
78.38,0.982,1.48,0.56,10.69,4.57,2.91,0.421,2103.9,1101.8,0.524,-0.0986,7.34,torsion,0.0
70.72,0.845,0.85,1.57,16.44,7.02,2.18,0.379,2136.1,1147.3,0.537,-0.1005,7.23,rotating_bending,0.0
73.36,0.339,0.48,0.65,15.81,9.08,0.14,0.134,1413.7,738.9,0.523,-0.0651,8.0,axial,-1.0
87.3,0.685,0.89,1.79,7.26,1.61,0.09,0.378,1495.4,755.3,0.505,-0.0728,8.0,torsion,0.1
81.69,0.207,0.12,0.9,10.62,4.71,1.31,0.452,1140.2,630.0,0.553,-0.0912,7.57,torsion,0.0
73.39,1.042,1.43,0.55,16.68,5.91,0.77,0.23,2142.9,1273.9,0.594,-0.0854,7.9,rotating_bending,0.0
93.97,0.778,0.44,0.43,2.32,1.54,0.46,0.069,1326.0,596.9,0.45,-0.0612,8.0,torsion,0.1
94.53,0.818,0.34,0.63,0.74,2.03,0.84,0.089,1402.9,589.9,0.421,-0.1078,7.0,rotating_bending,0.0
89.1,1.078,0.28,0.86,5.79,1.11,1.44,0.344,1784.3,862.2,0.483,-0.1148,6.29,rotating_bending,-1.0
74.56,0.737,1.48,1.21,16.63,2.83,2.28,0.266,1953.0,1129.6,0.578,-0.1113,6.21,torsion,0.1
84.13,0.87,1.35,1.17,9.58,1.29,1.34,0.266,1792.4,891.2,0.497,-0.1138,6.35,rotating_bending,-1.0
73.06,0.293,0.56,0.5,16.03,7.12,2.04,0.395,1434.4,787.7,0.549,-0.1098,6.48,torsion,0.0
89.98,0.725,1.14,1.03,2.3,3.41,1.09,0.323,1441.9,762.8,0.529,-0.0787,8.0,rotating_bending,-1.0
92.73,0.167,0.31,0.72,2.89,2.24,0.86,0.087,825.7,424.7,0.514,-0.1102,6.12,torsion,0.1
75.71,0.522,1.48,0.49,7.16,11.63,2.6,0.409,1657.9,885.5,0.534,-0.0592,8.0,torsion,0.1
88.41,0.707,0.49,1.61,3.37,3.88,1.28,0.254,1461.0,664.4,0.455,-0.1081,6.82,axial,0.0
82.77,0.382,0.91,0.56,8.66,6.39,0.16,0.168,1250.0,642.6,0.514,-0.0694,8.0,torsion,0.1
68.18,0.592,0.68,0.89,16.73,9.97,2.9,0.062,1888.3,1097.3,0.581,-0.0587,8.0,torsion,0.1
70.74,1.115,1.11,0.38,14.07,9.94,2.25,0.4,2339.4,1194.7,0.511,-0.077,8.0,axial,-1.0
82.64,1.059,0.65,1.69,7.9,4.52,1.39,0.151,1980.6,1047.8,0.529,-0.0848,8.0,rotating_bending,-1.0
72.43,1.085,0.64,1.22,16.32,7.49,0.35,0.47,2184.5,1079.4,0.494,-0.0674,8.0,rotating_bending,-1.0
88.76,0.663,1.35,1.64,2.73,3.74,0.75,0.372,1523.5,651.9,0.428,-0.0808,8.0,axial,-1.0
83.94,1.058,0.58,1.7,1.99,10.16,0.38,0.199,1866.6,819.0,0.439,-0.0717,8.0,axial,0.1
87.24,0.787,1.07,1.22,4.53,4.15,0.54,0.454,1632.7,807.4,0.495,-0.0909,7.8,torsion,0.0
80.32,1.139,0.31,1.3,9.11,7.34,0.05,0.436,2055.4,1075.4,0.523,-0.0597,8.0,torsion,0.0
92.4,0.937,0.62,0.42,1.39,1.25,2.52,0.455,1678.3,752.2,0.448,-0.1008,7.46,axial,0.0
87.25,0.264,1.27,0.86,5.61,2.73,1.82,0.19,1110.9,586.1,0.528,-0.0788,8.0,torsion,0.1
79.09,0.527,1.31,1.87,8.38,5.77,2.76,0.294,1650.1,767.7,0.465,-0.0602,8.0,axial,-1.0
81.44,0.623,0.69,1.86,6.52,6.97,1.9,0.007,1533.5,839.5,0.547,-0.1061,6.32,axial,0.0
83.33,0.148,1.5,1.15,10.72,0.8,2.25,0.105,1168.5,662.4,0.567,-0.1027,6.59,rotating_bending,-1.0
85.78,0.092,0.76,1.26,1.18,9.31,1.36,0.262,871.3,418.0,0.48,-0.1057,6.69,rotating_bending,-1.0
72.58,0.137,1.15,0.76,16.15,6.32,2.4,0.489,1354.7,809.1,0.597,-0.063,8.0,rotating_bending,-1.0
93.74,0.305,0.42,1.44,0.35,1.25,2.4,0.089,933.2,404.0,0.433,-0.1004,7.52,axial,0.0
87.0,1.005,0.66,1.44,3.69,3.52,2.69,0.007,1847.0,823.3,0.446,-0.1025,7.37,torsion,-1.0
71.14,1.058,1.0,1.5,16.39,7.5,1.01,0.413,2267.5,1319.6,0.582,-0.0943,7.27,axial,-1.0
78.75,0.552,0.51,1.91,13.74,1.68,2.61,0.244,1613.1,948.8,0.588,-0.067,8.0,rotating_bending,0.0
82.89,0.076,0.48,1.22,11.4,3.09,0.42,0.417,990.8,472.5,0.477,-0.0987,7.58,torsion,0.0
83.4,1.101,0.26,1.28,4.93,6.65,1.95,0.415,1993.4,930.0,0.467,-0.1143,6.47,rotating_bending,0.1
76.5,1.085,1.32,1.32,10.81,7.98,0.53,0.457,2125.8,1096.5,0.516,-0.1122,6.32,axial,0.1
84.86,0.262,0.23,1.61,1.23,10.04,1.31,0.458,1062.8,532.6,0.501,-0.0784,8.0,axial,0.0
83.88,0.506,1.44,0.53,8.71,3.24,1.62,0.081,1451.1,807.9,0.557,-0.1057,6.35,rotating_bending,0.0
80.01,0.595,0.58,0.9,7.43,8.46,1.79,0.23,1568.7,717.2,0.457,-0.1103,6.84,torsion,0.0
70.07,0.056,0.24,0.83,14.53,11.55,2.37,0.345,1242.0,745.1,0.6,-0.0695,8.0,torsion,-1.0
65.8,0.923,1.11,1.38,17.65,10.84,1.94,0.347,2287.6,1142.5,0.499,-0.0748,8.0,axial,0.1
87.45,1.199,0.88,1.1,5.63,1.45,2.19,0.096,2016.3,1068.4,0.53,-0.0703,8.0,torsion,0.1
84.07,0.417,1.26,0.36,10.73,2.76,0.36,0.038,1274.8,668.4,0.524,-0.0946,7.37,torsion,0.1
77.74,0.125,0.54,1.22,14.23,3.83,1.88,0.443,1166.9,564.5,0.484,-0.0628,8.0,axial,0.1
68.42,1.056,0.84,1.9,14.38,11.98,1.05,0.384,2331.0,1214.9,0.521,-0.0862,8.0,rotating_bending,0.1
79.96,0.508,0.23,0.87,9.41,8.79,0.01,0.234,1428.7,745.1,0.522,-0.0797,8.0,rotating_bending,-1.0
79.07,1.186,0.7,0.95,12.23,2.62,2.85,0.393,2228.2,1092.5,0.49,-0.0899,8.0,torsion,0.0
80.13,0.741,1.37,1.98,13.38,0.78,1.2,0.419,1835.9,891.7,0.486,-0.1122,6.68,rotating_bending,0.0
73.88,0.092,1.44,1.7,14.41,7.56,0.65,0.259,1264.4,680.1,0.538,-0.0835,8.0,torsion,0.0
72.62,0.643,0.79,1.99,16.15,5.56,1.87,0.374,1850.4,989.4,0.535,-0.0986,7.36,rotating_bending,-1.0
78.8,0.101,1.29,0.36,5.92,11.18,2.21,0.141,1177.3,555.9,0.472,-0.1147,6.41,torsion,-1.0
81.4,0.106,0.85,1.94,1.97,10.73,2.97,0.031,1085.7,575.7,0.53,-0.0807,8.0,axial,0.1
77.52,1.044,1.13,1.19,15.63,2.94,0.47,0.08,2118.0,1073.8,0.507,-0.1007,7.26,rotating_bending,0.0
68.89,0.172,1.08,0.62,15.87,11.54,1.4,0.44,1461.3,706.7,0.484,-0.0816,8.0,rotating_bending,-1.0
85.71,0.347,0.37,0.44,5.88,6.72,0.35,0.188,1118.9,482.3,0.431,-0.0659,8.0,axial,0.1
79.69,0.925,0.86,1.94,6.15,7.59,2.8,0.051,1945.3,886.3,0.456,-0.0969,7.83,rotating_bending,0.0
83.09,0.865,0.76,0.4,1.34,10.23,2.97,0.338,1796.6,870.5,0.485,-0.0761,8.0,rotating_bending,0.1
79.84,0.125,1.25,0.93,14.74,3.03,0.0,0.079,1146.9,541.7,0.472,-0.0637,8.0,torsion,0.1
79.26,1.0,0.52,1.73,13.91,2.76,0.39,0.434,1994.0,1156.6,0.58,-0.1131,5.91,rotating_bending,-1.0
75.58,1.096,1.3,1.94,13.68,5.31,0.94,0.16,2246.1,1097.7,0.489,-0.0629,8.0,axial,0.1
92.53,0.592,0.86,0.57,3.67,1.09,0.46,0.227,1290.8,618.2,0.479,-0.1139,6.21,rotating_bending,-1.0
86.4,1.099,1.45,0.62,8.32,0.01,1.79,0.304,2014.1,965.3,0.479,-0.1054,7.03,axial,0.0
76.36,0.425,0.93,1.04,17.72,1.79,1.39,0.34,1500.9,806.2,0.537,-0.0565,8.0,axial,0.1
89.31,0.849,1.3,1.63,0.71,5.77,0.31,0.121,1680.1,805.5,0.479,-0.0814,8.0,axial,-1.0
95.44,0.645,0.22,0.9,0.6,0.94,1.19,0.066,1204.1,568.2,0.472,-0.0736,8.0,axial,0.1
78.41,0.28,0.33,0.48,11.46,8.48,0.09,0.468,1251.4,671.7,0.537,-0.0627,8.0,axial,0.0
76.25,0.951,0.96,1.12,11.89,6.64,1.79,0.392,2038.9,1073.0,0.526,-0.1126,6.33,axial,0.0
84.47,0.144,0.18,0.72,2.87,10.46,0.66,0.488,932.6,476.3,0.511,-0.0755,8.0,torsion,0.0
81.92,0.074,1.01,0.86,9.76,5.92,0.24,0.202,993.1,466.3,0.47,-0.0899,8.0,torsion,-1.0
76.81,1.017,0.34,1.93,7.49,10.15,1.89,0.368,2057.8,1057.4,0.514,-0.0842,8.0,rotating_bending,0.0
74.15,0.884,0.78,1.78,16.21,5.06,0.83,0.296,2064.6,1210.5,0.586,-0.1024,6.6,rotating_bending,0.0
73.12,0.776,1.13,0.52,12.88,10.91,0.54,0.119,1890.6,919.9,0.487,-0.0628,8.0,torsion,0.0
86.77,0.642,0.6,1.31,2.94,4.69,2.91,0.129,1518.2,773.5,0.509,-0.0955,7.34,rotating_bending,0.1
87.85,0.572,0.43,0.42,3.06,6.24,1.01,0.414,1286.6,636.5,0.495,-0.0726,8.0,axial,-1.0
73.14,0.746,0.6,1.21,14.07,8.46,1.34,0.432,1881.7,1019.9,0.542,-0.0826,8.0,axial,0.0
93.15,0.116,0.84,1.89,0.71,1.47,1.36,0.467,848.9,362.9,0.427,-0.1061,7.16,rotating_bending,0.0
73.27,1.16,0.11,1.92,11.5,10.42,1.36,0.258,2182.4,1131.7,0.519,-0.075,8.0,torsion,0.0
73.49,0.404,1.09,0.64,12.12,11.64,0.28,0.336,1561.0,745.7,0.478,-0.0734,8.0,torsion,0.1
73.39,1.136,1.06,1.15,11.12,10.43,1.71,0.015,2256.8,1275.5,0.565,-0.0736,8.0,rotating_bending,-1.0
82.24,0.298,1.02,0.97,11.72,1.28,1.97,0.5,1346.5,760.9,0.565,-0.081,8.0,rotating_bending,0.1
73.02,1.06,0.67,0.86,12.02,9.69,2.29,0.399,2210.1,1162.5,0.526,-0.0659,8.0,axial,0.0
78.12,0.796,0.56,1.37,10.98,6.76,1.14,0.274,1838.8,936.8,0.509,-0.1141,6.27,torsion,0.1
78.37,0.244,1.0,1.59,9.01,6.51,2.85,0.424,1423.6,817.4,0.574,-0.0662,8.0,rotating_bending,-1.0
74.45,0.509,0.91,1.21,10.94,9.18,2.44,0.359,1693.1,845.0,0.499,-0.0594,8.0,torsion,-1.0
78.58,0.601,0.37,0.58,11.11,6.28,2.01,0.465,1629.7,867.6,0.532,-0.0801,8.0,axial,0.0
91.14,0.874,0.48,1.0,2.19,2.17,2.04,0.091,1628.6,713.9,0.438,-0.081,8.0,axial,0.0
72.75,0.977,0.87,0.37,11.4,11.42,1.8,0.41,2138.2,1222.4,0.572,-0.1013,6.7,rotating_bending,0.1
75.3,0.753,0.68,1.73,16.2,4.24,0.71,0.39,1885.6,997.4,0.529,-0.0749,8.0,axial,0.1
82.64,0.767,0.73,1.3,3.02,8.84,2.59,0.108,1670.6,744.1,0.445,-0.1136,6.62,torsion,0.1
81.54,0.748,0.87,0.69,7.04,7.13,1.49,0.494,1727.3,855.7,0.495,-0.0893,8.0,torsion,-1.0
84.71,0.846,1.49,0.52,1.87,8.69,1.74,0.137,1716.5,742.5,0.433,-0.1099,6.87,rotating_bending,0.1
78.74,0.511,0.61,0.88,11.11,5.31,2.5,0.335,1562.8,786.2,0.503,-0.0794,8.0,torsion,0.0
91.25,0.315,0.74,0.62,0.94,4.54,1.09,0.498,1024.9,481.2,0.47,-0.095,7.59,axial,0.0
86.47,1.151,0.35,1.47,3.62,6.43,0.29,0.225,1883.2,925.3,0.491,-0.0673,8.0,axial,-1.0
74.46,0.188,1.46,0.33,13.27,9.22,0.73,0.336,1377.7,656.4,0.476,-0.0996,7.59,torsion,-1.0
94.47,0.75,0.81,0.57,1.14,1.41,0.68,0.171,1318.7,577.8,0.438,-0.0844,8.0,torsion,0.0
71.4,0.564,0.94,1.18,16.55,5.96,2.98,0.426,1802.6,945.5,0.525,-0.0592,8.0,axial,0.0
68.77,0.99,0.63,1.79,15.63,9.67,2.37,0.152,2240.6,1132.7,0.506,-0.0733,8.0,axial,0.0
80.39,1.172,1.0,1.7,2.39,10.34,2.77,0.244,2151.1,1081.4,0.503,-0.0691,8.0,rotating_bending,0.1
86.6,1.146,1.26,1.43,2.19,5.74,1.52,0.116,1995.2,1042.2,0.522,-0.0624,8.0,rotating_bending,0.1
83.35,0.787,0.4,1.35,11.7,1.82,0.18,0.39,1637.4,832.6,0.509,-0.1115,6.41,torsion,0.0
90.31,0.116,1.07,1.97,4.31,1.71,0.36,0.152,889.9,382.4,0.43,-0.0844,8.0,torsion,-1.0
74.13,0.318,0.41,0.6,11.8,10.18,2.17,0.396,1418.2,737.9,0.52,-0.0758,8.0,torsion,0.1
78.62,0.654,0.77,0.6,6.97,11.57,0.75,0.067,1647.7,821.4,0.499,-0.0741,8.0,torsion,-1.0
68.57,0.297,0.12,0.71,17.57,9.62,2.88,0.244,1530.8,783.5,0.512,-0.0821,8.0,torsion,-1.0
88.56,1.021,0.24,1.13,2.7,3.9,2.21,0.238,1733.4,837.3,0.483,-0.0679,8.0,rotating_bending,-1.0
77.99,1.149,1.2,0.84,12.39,5.25,0.76,0.42,2157.2,1010.7,0.469,-0.0609,8.0,rotating_bending,0.1
81.12,0.62,0.64,1.07,4.09,10.67,1.35,0.441,1544.5,679.8,0.44,-0.0702,8.0,rotating_bending,-1.0
82.73,0.972,0.25,0.36,9.15,4.65,1.39,0.496,1860.0,1057.8,0.569,-0.0585,8.0,torsion,0.1
81.05,0.25,0.24,1.42,13.76,3.18,0.06,0.041,1164.8,582.3,0.5,-0.1027,7.07,rotating_bending,0.0
77.13,0.35,0.2,1.93,8.61,10.75,0.97,0.063,1372.2,680.6,0.496,-0.1082,6.61,rotating_bending,-1.0
92.74,1.108,0.83,1.35,2.82,0.52,0.33,0.299,1771.5,846.2,0.478,-0.0917,7.77,axial,0.0
84.39,0.365,1.4,1.45,8.93,0.15,2.98,0.336,1354.8,681.7,0.503,-0.0622,8.0,rotating_bending,0.1
70.86,0.34,1.16,1.08,15.16,8.74,2.33,0.328,1614.1,977.2,0.605,-0.0588,8.0,rotating_bending,-1.0
78.72,0.24,0.28,1.53,14.72,2.56,1.52,0.42,1236.0,701.1,0.567,-0.0825,8.0,rotating_bending,-1.0
72.42,0.635,0.52,1.26,12.4,10.48,1.91,0.381,1793.2,849.3,0.474,-0.1002,7.63,rotating_bending,0.1
78.71,1.191,0.24,0.98,14.4,2.45,1.67,0.367,2153.3,1188.4,0.552,-0.1037,6.77,rotating_bending,-1.0
71.24,0.67,0.83,1.74,15.12,9.99,0.03,0.375,1870.2,1041.3,0.557,-0.0645,8.0,axial,0.1
71.52,1.196,0.62,1.06,13.0,10.63,1.78,0.196,2383.6,1236.2,0.519,-0.0733,8.0,rotating_bending,0.0
86.49,0.763,0.6,1.65,1.67,7.06,1.44,0.321,1585.8,768.0,0.484,-0.0814,8.0,axial,0.0
83.75,0.739,0.94,0.34,5.8,7.64,0.45,0.348,1588.3,817.3,0.515,-0.0561,8.0,rotating_bending,0.1
85.32,0.999,0.83,0.93,2.2,8.83,0.71,0.186,1831.6,823.3,0.449,-0.1046,7.01,axial,0.1
81.79,0.186,0.67,1.73,6.91,6.86,1.76,0.092,1158.3,560.3,0.484,-0.0949,7.69,rotating_bending,0.1
82.03,0.078,1.26,0.76,9.33,3.58,2.82,0.13,1127.3,631.1,0.56,-0.1038,6.56,rotating_bending,-1.0
86.23,0.577,0.78,0.53,1.45,8.74,1.49,0.218,1381.4,689.4,0.499,-0.0691,8.0,axial,0.0
73.84,0.752,0.29,1.58,11.83,11.48,0.21,0.029,1753.5,836.9,0.477,-0.0606,8.0,axial,0.0
83.92,0.543,1.28,0.76,2.81,10.24,0.14,0.31,1394.2,665.6,0.477,-0.0942,7.54,axial,-1.0
77.55,0.938,0.22,0.7,13.18,6.58,0.38,0.441,1956.0,1087.8,0.556,-0.0775,8.0,rotating_bending,0.0
88.09,1.176,0.3,1.53,3.44,4.06,0.93,0.474,1927.1,1030.6,0.535,-0.104,6.45,rotating_bending,0.0
76.08,0.878,0.69,0.45,12.31,6.54,2.94,0.114,1994.2,1134.8,0.569,-0.0821,8.0,axial,0.0
86.17,0.31,1.29,1.03,2.54,7.97,0.65,0.049,1072.4,542.6,0.506,-0.0874,7.84,torsion,0.0
77.15,0.384,1.2,0.49,6.41,11.74,2.38,0.249,1493.1,762.8,0.511,-0.0695,8.0,axial,0.1
76.21,0.286,1.33,1.8,15.67,2.87,1.35,0.492,1455.3,839.2,0.577,-0.1134,6.04,rotating_bending,0.0
77.71,0.445,0.5,0.96,14.37,4.46,1.36,0.199,1469.6,728.0,0.495,-0.1038,7.17,rotating_bending,-1.0
73.34,0.78,1.22,0.97,16.47,6.4,0.47,0.348,1919.3,1096.2,0.571,-0.096,7.17,torsion,-1.0
90.49,1.092,0.49,1.97,2.53,2.42,0.55,0.447,1784.1,838.7,0.47,-0.0781,8.0,axial,0.1
70.84,1.065,1.23,1.16,17.41,5.01,2.95,0.334,2369.5,1372.5,0.579,-0.105,6.67,axial,0.0
79.8,0.542,0.33,0.32,10.08,6.33,2.16,0.445,1532.8,748.5,0.488,-0.0635,8.0,axial,0.0
71.57,0.177,1.16,1.98,16.22,7.82,0.94,0.127,1386.6,793.5,0.572,-0.0622,8.0,axial,0.0
77.89,0.331,0.26,0.45,12.94,5.04,2.72,0.37,1392.7,742.7,0.533,-0.0804,8.0,rotating_bending,-1.0
87.1,0.977,1.28,0.73,0.56,8.87,0.32,0.157,1724.4,704.1,0.408,-0.0741,8.0,axial,-1.0
89.11,0.804,1.49,0.42,1.39,4.08,2.6,0.108,1610.8,821.9,0.51,-0.0905,7.66,axial,-1.0
78.57,0.931,1.2,1.43,4.69,10.89,2.01,0.28,1971.9,892.6,0.453,-0.0882,8.0,axial,0.0
76.94,1.044,0.87,0.95,17.58,1.33,1.27,0.021,2110.6,1086.0,0.515,-0.0635,8.0,torsion,0.0
81.87,1.097,1.16,1.67,0.32,11.55,2.18,0.152,2051.9,1044.9,0.509,-0.0981,6.98,torsion,0.0
91.88,0.301,0.27,0.42,4.74,0.55,1.7,0.142,998.7,500.0,0.501,-0.1111,6.32,axial,-1.0
76.71,0.43,0.58,1.98,11.27,6.38,2.51,0.143,1492.4,773.5,0.518,-0.0989,7.3,axial,0.0
85.24,0.709,1.02,0.73,3.96,5.86,2.21,0.263,1565.6,745.5,0.476,-0.1051,6.93,axial,-1.0
85.87,0.776,0.93,1.49,4.27,6.15,0.31,0.192,1593.8,757.2,0.475,-0.0759,8.0,axial,0.0
79.12,0.594,1.48,0.76,7.33,10.7,0.01,0.02,1596.0,726.9,0.455,-0.0868,8.0,rotating_bending,-1.0
81.55,0.594,0.97,1.1,8.05,5.69,1.77,0.269,1577.2,864.7,0.548,-0.112,6.05,torsion,-1.0
81.32,0.44,1.22,1.27,9.23,3.52,2.8,0.199,1484.1,707.1,0.476,-0.0943,8.0,torsion,0.1
76.19,1.055,0.79,1.49,17.87,1.58,0.82,0.197,2114.9,1126.9,0.533,-0.0903,8.0,rotating_bending,-1.0
70.83,0.347,1.04,0.8,12.93,11.45,2.16,0.431,1584.5,882.7,0.557,-0.067,8.0,axial,-1.0
93.77,0.189,0.69,1.58,1.28,0.96,1.06,0.471,899.1,443.9,0.494,-0.0743,8.0,axial,0.1
71.0,0.733,0.11,1.38,16.44,7.35,2.62,0.362,1933.6,989.1,0.512,-0.1143,6.53,axial,0.1
71.28,0.566,0.22,0.98,16.38,9.7,0.65,0.233,1668.7,955.2,0.572,-0.111,6.14,rotating_bending,0.0
75.88,1.03,0.67,0.43,9.77,10.34,1.77,0.113,2038.6,1063.1,0.521,-0.0694,8.0,torsion,0.1
75.17,0.72,0.62,1.32,12.7,8.26,1.12,0.083,1718.6,878.4,0.511,-0.1064,6.76,rotating_bending,-1.0
88.65,1.139,0.58,1.18,6.82,0.08,1.16,0.396,1894.9,1020.6,0.539,-0.0831,8.0,axial,-1.0
80.04,0.171,0.33,1.95,4.11,11.73,1.6,0.068,1114.2,491.6,0.441,-0.1025,7.36,torsion,0.1
83.57,0.234,0.13,1.59,8.25,3.47,2.7,0.058,1125.7,627.0,0.557,-0.0788,8.0,rotating_bending,-1.0
83.32,0.151,0.95,0.56,0.56,11.65,2.32,0.49,1097.3,528.9,0.482,-0.0831,8.0,rotating_bending,0.0
73.31,0.334,1.27,0.91,14.88,8.51,0.53,0.254,1463.4,828.6,0.566,-0.0823,8.0,rotating_bending,0.1
80.66,0.21,0.72,1.36,8.8,4.82,2.98,0.44,1277.5,690.9,0.541,-0.0808,8.0,axial,0.1
82.46,0.282,0.65,0.37,8.56,6.52,0.68,0.482,1205.4,613.9,0.509,-0.0628,8.0,rotating_bending,0.0
78.72,0.959,0.27,1.65,4.96,10.53,2.83,0.074,1951.7,966.8,0.495,-0.0561,8.0,axial,0.1
79.93,0.398,0.79,1.19,10.13,5.29,1.82,0.459,1470.1,835.1,0.568,-0.0876,7.78,torsion,0.1
