Fe,C,Si,Mn,Cr,Ni,Mo,V,W,Cu,CE_IIW,Pcm,Ac1_C,Ac3_C,Ms_C,treatment_type,cooling_medium,hardness_HRC,hardenability_mm,weldability
84.45,0.765,0.97,1.99,2.79,6.57,0.37,0.18,1.48,0.44,2.231,1.21,679.0,706.0,2.0,normalizing,air,35.9,91.6,poor
83.52,0.914,1.39,1.62,7.08,0.43,1.07,0.642,3.23,0.1,2.979,1.544,883.0,872.0,2.0,tempering,air,29.4,108.8,poor
80.41,0.18,1.89,1.73,10.27,1.02,1.26,0.84,2.19,0.22,3.025,1.039,934.0,1020.0,258.0,annealing,furnace,14.5,119.1,poor
78.5,0.329,1.51,0.71,12.45,3.23,1.24,0.868,1.07,0.09,3.581,1.265,926.0,941.0,161.0,normalizing,air,25.7,131.1,poor
80.35,0.139,1.2,1.12,12.89,0.98,1.77,0.31,1.23,0.01,3.385,1.046,959.0,961.0,260.0,annealing,furnace,13.8,140.5,poor
89.15,0.29,0.94,0.6,4.61,2.16,0.85,0.97,0.19,0.25,1.836,0.784,790.0,937.0,298.0,tempering,air,40.6,74.0,poor
79.46,0.297,0.86,1.98,9.03,4.92,2.92,0.506,0.01,0.02,3.448,1.204,800.0,908.0,135.0,annealing,furnace,15.7,183.2,poor
79.0,0.475,1.11,0.72,7.75,7.33,1.22,0.223,1.73,0.44,2.951,1.183,770.0,770.0,84.0,annealing,furnace,17.8,126.3,poor
85.6,0.696,1.35,1.79,5.18,3.94,0.55,0.308,0.47,0.1,2.473,1.229,771.0,791.0,53.0,tempering,air,34.4,95.2,poor
81.87,0.203,0.48,1.35,6.52,5.33,2.92,0.053,0.96,0.32,2.702,0.917,753.0,856.0,217.0,quenching,air,45.5,164.1,poor
78.97,0.92,0.5,0.32,8.55,6.51,1.3,0.569,2.11,0.26,3.509,1.645,786.0,739.0,-88.0,annealing,furnace,26.9,134.4,poor
85.65,0.42,0.36,0.69,7.78,0.87,0.69,0.565,2.54,0.43,2.428,0.993,863.0,862.0,226.0,tempering,air,40.8,83.4,poor
73.76,0.907,1.64,0.74,11.18,6.19,2.53,0.489,2.52,0.05,4.286,1.88,867.0,826.0,-131.0,annealing,furnace,29.8,187.0,poor
84.08,0.181,1.25,1.63,0.01,7.13,2.86,0.128,2.68,0.06,1.531,0.63,642.0,874.0,265.0,tempering,air,26.2,139.2,poor
77.33,1.193,0.77,0.51,8.6,6.11,0.86,0.236,4.01,0.38,3.65,1.875,812.0,681.0,-200.0,normalizing,air,53.0,127.1,poor
86.64,0.983,1.02,0.77,2.33,4.49,1.27,0.397,1.75,0.34,2.234,1.389,723.0,768.0,-18.0,normalizing,air,44.9,100.3,poor
82.84,0.942,0.29,1.54,3.86,7.7,0.06,0.238,2.49,0.04,2.546,1.38,670.0,636.0,-90.0,annealing,furnace,28.9,91.0,poor
79.24,1.106,0.83,1.57,6.88,7.13,0.09,0.259,2.73,0.16,3.3,1.715,748.0,655.0,-187.0,tempering,air,60.3,108.4,poor
90.14,0.692,0.74,1.62,1.06,4.51,0.3,0.177,0.31,0.45,1.6,0.986,675.0,733.0,102.0,quenching,air,66.4,67.4,poor
82.18,0.668,0.53,0.95,7.4,3.6,2.24,0.912,1.5,0.01,3.18,1.405,806.0,878.0,57.0,quenching,oil,67.0,146.6,poor
77.81,0.259,1.0,0.82,14.92,1.48,1.14,0.617,1.73,0.24,3.843,1.252,986.0,929.0,190.0,annealing,furnace,10.9,132.9,poor
77.49,0.649,1.54,0.31,11.38,7.13,0.95,0.334,0.01,0.21,3.723,1.511,840.0,771.0,-16.0,normalizing,air,38.2,135.0,poor
83.95,1.125,0.59,1.49,5.13,5.74,0.43,0.458,0.92,0.17,2.971,1.654,724.0,695.0,-149.0,normalizing,air,51.4,103.8,poor
87.1,0.276,1.29,1.17,1.03,4.65,0.24,0.725,3.27,0.25,1.197,0.607,712.0,873.0,290.0,quenching,oil,52.1,53.2,poor
86.07,0.117,1.98,0.4,1.57,3.96,1.13,0.532,4.18,0.08,1.097,0.479,767.0,960.0,380.0,normalizing,air,17.3,68.8,poor
81.82,0.759,0.96,1.09,3.99,7.89,2.72,0.527,0.17,0.08,2.918,1.414,678.0,797.0,-23.0,quenching,oil,67.4,164.1,poor
83.92,0.908,1.28,0.82,6.54,5.42,0.3,0.189,0.17,0.45,2.842,1.471,776.0,721.0,-47.0,normalizing,air,43.9,94.8,poor
83.48,0.834,0.49,0.65,7.37,4.25,0.77,0.123,1.82,0.21,2.892,1.396,799.0,719.0,-4.0,tempering,air,53.8,105.1,poor
72.32,0.554,0.6,1.23,11.71,7.51,0.85,0.743,4.43,0.06,3.925,1.48,830.0,776.0,-14.0,tempering,air,41.4,142.5,poor
87.31,0.568,1.19,0.36,3.72,3.74,1.63,0.159,0.97,0.36,2.003,1.016,764.0,821.0,164.0,annealing,furnace,19.6,102.3,poor
76.75,0.287,0.62,1.28,14.47,4.86,1.23,0.39,0.12,0.0,4.042,1.297,894.0,834.0,108.0,annealing,furnace,13.9,152.2,poor
92.15,0.817,1.01,1.94,1.47,0.58,0.54,0.377,0.88,0.23,1.674,1.117,756.0,819.0,102.0,annealing,furnace,28.0,66.8,poor
80.03,0.309,0.86,1.77,9.56,2.42,1.93,0.813,2.02,0.29,3.245,1.169,867.0,944.0,182.0,normalizing,air,22.4,144.3,poor
93.13,0.418,0.69,1.11,0.24,0.09,2.21,0.808,1.02,0.3,1.279,0.752,744.0,962.0,307.0,annealing,furnace,16.7,92.2,poor
84.65,1.127,1.22,1.42,0.29,5.36,1.17,0.46,4.04,0.26,2.123,1.48,687.0,752.0,-88.0,quenching,air,62.3,99.6,poor
85.31,0.489,0.57,1.37,0.65,3.97,2.02,0.407,4.86,0.36,1.62,0.868,704.0,839.0,197.0,quenching,oil,64.9,108.1,poor
82.86,0.835,1.23,0.39,4.77,4.28,1.64,0.814,2.94,0.23,2.647,1.409,786.0,851.0,28.0,tempering,air,55.6,115.9,poor
77.41,0.703,0.12,1.98,11.5,2.89,2.95,0.092,2.32,0.03,4.136,1.636,870.0,804.0,-31.0,quenching,air,67.5,196.4,poor
92.91,1.074,0.35,0.31,0.24,1.68,0.34,0.554,2.24,0.3,1.484,1.234,724.0,758.0,40.0,tempering,air,51.6,47.7,poor
76.87,0.561,0.9,1.48,6.09,7.63,2.95,0.523,2.79,0.2,3.242,1.355,729.0,829.0,26.0,tempering,air,35.0,180.5,poor
74.01,0.587,1.85,1.16,14.09,6.0,0.5,0.167,1.59,0.03,4.134,1.563,915.0,779.0,-25.0,normalizing,air,33.1,137.9,poor
86.36,0.265,1.87,1.62,4.32,3.75,0.2,0.659,0.63,0.33,1.843,0.783,778.0,907.0,258.0,tempering,air,25.8,69.2,poor
77.74,0.909,1.24,0.86,6.19,4.33,2.87,0.931,4.93,0.01,3.339,1.66,817.0,893.0,-45.0,annealing,furnace,31.0,166.1,poor
79.0,1.151,0.13,0.32,13.39,0.31,1.0,0.924,3.46,0.32,4.309,2.021,971.0,821.0,-132.0,annealing,furnace,31.8,129.3,poor
75.52,0.572,1.45,1.49,14.43,1.51,1.35,0.204,3.36,0.11,4.125,1.557,993.0,862.0,40.0,quenching,water,63.0,150.1,poor
83.47,1.181,0.7,1.56,7.99,2.87,0.57,0.719,0.79,0.14,3.498,1.847,822.0,770.0,-160.0,normalizing,air,50.2,112.9,poor
75.88,0.158,0.26,0.4,14.41,6.75,1.32,0.248,0.36,0.22,3.885,1.143,862.0,805.0,156.0,normalizing,air,18.8,150.7,poor
78.62,0.863,0.12,1.01,5.26,7.46,2.96,0.288,3.05,0.37,3.254,1.549,702.0,736.0,-75.0,normalizing,air,38.6,177.2,poor
81.42,0.506,1.67,0.45,2.2,7.25,2.45,0.775,3.12,0.15,2.161,1.064,705.0,888.0,138.0,tempering,air,46.5,133.2,poor
72.67,0.9,1.82,0.49,11.95,4.46,2.6,0.514,4.31,0.28,4.312,1.896,929.0,866.0,-100.0,quenching,water,66.2,183.6,poor
71.84,1.036,1.75,1.67,14.05,4.05,2.11,0.904,2.28,0.31,5.016,2.194,944.0,880.0,-207.0,tempering,air,52.0,192.0,poor
91.18,0.838,1.6,0.92,0.22,2.79,0.35,0.156,1.83,0.1,1.33,1.039,732.0,781.0,102.0,normalizing,air,39.7,53.8,poor
88.78,0.933,0.44,0.43,2.46,3.02,1.27,0.899,1.4,0.36,2.157,1.335,735.0,821.0,38.0,tempering,air,65.5,90.4,poor
72.29,0.893,1.9,0.41,12.99,3.33,2.63,0.308,4.91,0.32,4.392,1.905,973.0,868.0,-87.0,tempering,air,48.6,184.2,poor
69.34,0.457,0.27,0.82,14.81,6.57,2.4,0.843,4.33,0.16,4.653,1.609,893.0,848.0,7.0,quenching,water,59.9,194.8,poor
83.61,0.225,1.32,0.44,2.33,4.99,1.31,0.561,4.88,0.32,1.492,0.65,747.0,897.0,304.0,tempering,air,26.2,84.9,poor
78.85,0.985,1.31,0.63,11.29,4.02,0.11,0.395,2.01,0.4,3.744,1.758,894.0,750.0,-105.0,normalizing,air,51.0,106.9,poor
83.97,0.119,0.95,0.32,4.79,4.16,0.24,0.485,4.62,0.34,1.576,0.558,791.0,877.0,345.0,quenching,water,43.3,58.4,poor
80.72,0.262,0.95,1.31,13.1,2.46,0.0,0.974,0.13,0.08,3.466,1.157,921.0,913.0,186.0,quenching,air,48.3,98.8,poor
74.59,0.703,1.81,1.65,14.43,2.13,1.41,0.456,2.37,0.46,4.411,1.766,985.0,880.0,-32.0,quenching,air,68.0,158.6,poor
77.35,0.691,0.89,1.22,12.05,3.94,2.33,0.417,0.91,0.21,4.129,1.656,883.0,838.0,-23.0,normalizing,air,36.5,176.8,poor
86.05,0.294,0.42,1.44,0.18,6.45,1.64,0.566,2.69,0.27,1.459,0.676,635.0,831.0,242.0,tempering,air,35.0,101.2,poor
81.59,0.534,1.6,0.46,4.68,6.2,2.87,0.783,0.86,0.42,2.718,1.238,749.0,911.0,111.0,annealing,furnace,22.2,154.6,poor
80.44,0.722,1.84,1.39,8.49,3.84,0.71,0.084,2.21,0.28,3.084,1.411,858.0,792.0,15.0,quenching,water,66.3,112.4,poor
74.97,0.49,0.89,0.62,13.6,5.45,0.28,0.713,2.74,0.26,3.89,1.424,901.0,808.0,50.0,tempering,air,21.8,119.0,poor
86.39,0.833,1.43,0.57,4.94,0.42,1.96,0.34,2.76,0.38,2.427,1.346,856.0,879.0,88.0,tempering,air,33.6,112.5,poor
79.93,0.286,1.28,1.45,8.52,1.71,0.83,0.708,4.81,0.47,2.684,1.005,895.0,933.0,235.0,annealing,furnace,18.0,99.5,poor
86.69,0.924,0.94,0.63,3.35,5.65,0.78,0.44,0.54,0.06,2.324,1.347,712.0,741.0,-17.0,annealing,furnace,26.2,92.6,poor
74.51,0.567,0.73,1.21,12.22,7.86,0.75,0.107,1.98,0.07,3.913,1.458,822.0,705.0,-30.0,tempering,air,37.0,143.6,poor
84.0,0.953,0.88,1.73,2.26,6.56,1.43,0.746,1.2,0.24,2.582,1.473,669.0,774.0,-71.0,tempering,air,38.3,121.8,poor
84.89,0.659,1.44,1.73,1.24,5.25,1.43,0.598,2.54,0.23,1.966,1.109,699.0,837.0,89.0,normalizing,air,31.3,105.6,poor
78.43,0.736,0.12,1.54,6.47,6.77,1.67,0.835,3.06,0.37,3.264,1.467,728.0,778.0,-30.0,normalizing,air,34.3,144.6,poor
80.1,0.717,0.59,0.68,13.42,1.63,1.13,0.17,1.42,0.15,3.893,1.568,945.0,793.0,15.0,annealing,furnace,25.3,133.6,poor
82.69,1.002,1.54,1.68,7.71,1.26,1.42,0.963,1.53,0.21,3.398,1.745,872.0,901.0,-62.0,normalizing,air,46.2,128.0,poor
77.0,1.072,0.95,1.48,6.99,6.86,2.98,0.243,2.37,0.04,3.824,1.868,756.0,757.0,-188.0,tempering,air,64.1,193.2,poor
82.55,0.575,1.98,0.52,7.13,3.46,2.43,0.162,1.11,0.09,2.842,1.264,848.0,886.0,114.0,tempering,air,46.0,144.1,poor
74.37,0.144,1.24,1.02,12.62,7.26,0.86,0.784,1.55,0.15,3.661,1.132,853.0,887.0,159.0,quenching,oil,45.0,136.0,poor
72.83,0.846,0.6,1.09,12.18,6.34,2.57,0.161,2.93,0.46,4.463,1.846,850.0,751.0,-131.0,normalizing,air,40.1,196.1,poor
90.98,0.581,0.29,0.41,0.24,3.88,0.44,0.689,2.46,0.01,1.184,0.787,685.0,795.0,206.0,quenching,air,65.3,50.7,poor
87.36,1.11,0.34,1.59,3.69,2.57,0.07,0.556,2.34,0.37,2.435,1.507,754.0,732.0,-69.0,normalizing,air,49.3,74.1,poor
83.07,0.94,1.75,0.73,4.99,4.56,0.25,0.807,2.42,0.48,2.607,1.482,793.0,814.0,-24.0,tempering,air,57.1,81.8,poor
87.52,0.204,0.3,1.38,1.78,3.72,0.19,0.269,4.62,0.02,1.13,0.474,718.0,809.0,322.0,normalizing,air,23.9,52.3,poor
87.44,0.73,1.22,1.73,5.95,0.1,0.64,0.035,1.97,0.18,2.363,1.212,856.0,814.0,99.0,annealing,furnace,26.4,86.3,poor
90.34,0.899,0.84,0.58,2.17,1.35,0.17,0.36,3.08,0.22,1.639,1.145,779.0,777.0,90.0,tempering,air,29.9,50.0,poor
76.49,1.094,0.61,0.77,9.62,7.06,1.85,0.977,1.11,0.41,4.209,1.993,787.0,778.0,-202.0,tempering,air,67.6,166.5,poor
74.89,0.874,0.32,0.87,10.26,4.48,2.03,0.963,4.85,0.46,4.0,1.771,855.0,830.0,-76.0,quenching,water,67.0,161.5,poor
82.81,0.733,0.96,1.99,8.03,2.63,1.91,0.044,0.55,0.33,3.26,1.459,829.0,804.0,10.0,normalizing,air,36.4,147.5,poor
83.77,0.461,0.86,0.76,5.17,5.44,2.77,0.583,0.05,0.13,2.665,1.127,740.0,876.0,141.0,tempering,air,27.0,152.5,poor
84.12,0.409,0.22,1.02,4.06,4.24,1.18,0.136,4.18,0.43,1.966,0.855,746.0,777.0,202.0,annealing,furnace,19.1,96.1,poor
80.88,0.464,1.14,0.99,6.99,6.09,1.63,0.181,1.35,0.28,2.814,1.143,773.0,800.0,108.0,annealing,furnace,17.7,132.4,poor
86.5,0.686,1.95,1.77,3.71,1.86,1.31,0.975,0.76,0.48,2.334,1.264,801.0,943.0,108.0,annealing,furnace,21.5,101.6,poor
74.77,1.159,0.62,1.45,12.06,1.58,2.92,0.547,4.57,0.33,4.633,2.147,936.0,844.0,-191.0,normalizing,air,54.5,196.8,poor
83.88,0.397,1.66,0.79,0.65,4.41,2.51,0.69,4.95,0.07,1.596,0.837,735.0,940.0,243.0,tempering,air,26.7,116.9,poor
81.32,0.237,1.27,1.96,3.21,4.96,1.69,0.392,4.77,0.18,1.965,0.781,744.0,887.0,240.0,annealing,furnace,13.9,116.0,poor
84.73,0.508,0.59,2.0,6.71,2.14,1.22,0.279,1.76,0.06,2.629,1.111,811.0,827.0,135.0,annealing,furnace,17.8,113.9,poor
70.71,0.92,1.84,1.94,11.79,6.79,1.19,0.392,4.04,0.38,4.397,1.919,870.0,773.0,-181.0,tempering,air,60.5,164.7,poor
79.3,0.451,0.12,1.59,4.26,6.99,1.47,0.624,4.75,0.43,2.483,1.047,698.0,784.0,113.0,tempering,air,41.5,123.4,poor
76.21,1.03,0.93,1.06,11.58,3.97,0.8,0.996,3.1,0.32,4.168,1.929,891.0,814.0,-145.0,normalizing,air,47.1,134.0,poor
83.45,0.228,1.74,0.68,3.97,6.05,2.15,0.073,1.26,0.41,2.009,0.79,743.0,874.0,251.0,annealing,furnace,16.6,124.9,poor
72.21,0.951,1.65,0.85,14.54,5.72,0.2,0.478,3.32,0.08,4.522,1.936,936.0,755.0,-168.0,tempering,air,48.8,134.0,poor
82.92,0.433,1.5,0.76,1.06,7.23,1.23,0.683,3.79,0.4,1.663,0.865,683.0,843.0,183.0,annealing,furnace,18.9,92.4,poor
84.77,0.766,1.27,1.11,8.43,2.31,0.48,0.607,0.23,0.03,3.009,1.417,857.0,832.0,35.0,tempering,air,57.9,97.0,poor
81.47,1.071,1.57,1.8,8.48,1.77,0.1,0.94,2.38,0.43,3.42,1.789,882.0,844.0,-103.0,annealing,furnace,29.4,96.7,poor
89.01,0.648,0.98,0.63,4.3,0.25,2.39,0.301,1.1,0.4,2.194,1.141,824.0,893.0,171.0,normalizing,air,36.9,118.5,poor
78.86,0.615,1.7,1.45,8.23,2.18,1.1,0.989,4.53,0.35,3.088,1.381,892.0,931.0,89.0,normalizing,air,36.2,114.7,poor
78.74,0.637,0.46,0.5,13.77,0.39,2.69,0.69,2.02,0.09,4.184,1.626,974.0,919.0,61.0,tempering,air,25.0,173.9,poor
89.0,0.261,0.15,0.32,0.99,5.02,1.48,0.997,1.43,0.36,1.366,0.631,669.0,887.0,307.0,tempering,air,28.5,82.8,poor
83.9,1.028,0.18,1.87,4.96,0.37,2.51,0.934,3.84,0.4,3.072,1.662,814.0,883.0,-38.0,quenching,oil,63.8,145.8,poor
78.24,0.415,0.57,1.34,11.02,3.18,1.2,0.954,2.59,0.49,3.517,1.305,878.0,894.0,124.0,tempering,air,42.6,130.5,poor
72.25,0.718,1.1,1.76,12.93,7.91,0.72,0.034,2.12,0.45,4.305,1.695,838.0,693.0,-120.0,annealing,furnace,23.6,154.9,poor
78.03,0.29,0.11,1.71,9.41,4.56,1.99,0.654,2.83,0.42,3.317,1.144,812.0,867.0,155.0,annealing,furnace,15.5,152.8,poor
75.25,1.041,0.98,1.87,11.9,6.89,0.4,0.149,1.18,0.33,4.325,1.936,828.0,670.0,-227.0,normalizing,air,43.8,143.7,poor
79.5,0.536,1.64,0.71,8.73,4.46,2.45,0.394,1.12,0.45,3.298,1.363,847.0,885.0,87.0,normalizing,air,29.0,158.0,poor
77.73,0.487,1.66,0.68,6.26,5.81,1.65,0.821,4.9,0.0,2.734,1.179,807.0,892.0,121.0,normalizing,air,27.8,125.6,poor
91.14,1.175,1.53,0.58,1.87,0.7,2.2,0.236,0.36,0.21,2.192,1.54,787.0,841.0,-27.0,annealing,furnace,34.1,112.3,poor
80.79,0.43,0.45,0.57,7.09,3.57,2.36,0.824,3.5,0.42,2.845,1.147,816.0,903.0,173.0,quenching,oil,58.3,139.7,poor
87.42,0.377,1.45,1.71,1.72,0.99,1.92,0.144,3.84,0.41,1.513,0.777,788.0,911.0,275.0,tempering,air,23.5,99.8,poor
90.94,1.009,1.89,0.82,0.65,0.83,1.71,0.53,1.49,0.12,1.789,1.333,780.0,887.0,52.0,annealing,furnace,31.3,91.4,poor
77.61,0.682,1.72,1.87,8.0,4.19,1.52,0.505,3.87,0.03,3.28,1.456,846.0,856.0,11.0,quenching,oil,67.8,139.6,poor
80.47,0.676,0.51,1.22,6.83,5.9,1.06,0.95,2.07,0.32,3.063,1.376,758.0,808.0,21.0,quenching,water,68.0,120.3,poor
85.67,0.476,0.76,0.94,6.56,1.98,0.83,0.958,1.51,0.31,2.456,1.077,826.0,900.0,188.0,quenching,water,61.3,89.6,poor
81.39,0.866,0.72,1.52,11.35,1.11,1.73,0.808,0.25,0.25,3.988,1.761,907.0,875.0,-43.0,quenching,oil,63.9,150.7,poor
79.26,0.345,0.69,1.95,8.34,2.77,2.58,0.743,2.87,0.44,3.219,1.198,839.0,938.0,164.0,tempering,air,40.8,161.7,poor
89.05,0.991,0.79,1.64,1.15,2.23,1.21,0.405,2.21,0.33,1.988,1.332,728.0,790.0,7.0,annealing,furnace,29.5,92.2,poor
71.7,0.638,1.75,1.32,12.4,7.3,1.7,0.285,2.49,0.43,4.248,1.666,866.0,798.0,-63.0,quenching,water,63.2,173.0,poor
82.06,1.085,1.8,0.93,6.72,5.42,0.33,0.466,0.75,0.42,3.135,1.709,796.0,756.0,-128.0,annealing,furnace,31.3,101.4,poor
78.65,1.109,1.97,1.84,2.96,6.42,2.45,0.579,3.57,0.45,3.071,1.765,729.0,824.0,-154.0,tempering,air,48.3,159.6,poor
85.15,0.708,1.6,1.66,3.47,2.31,0.29,0.805,3.97,0.04,2.054,1.158,801.0,869.0,104.0,annealing,furnace,27.0,71.1,poor
80.29,0.469,0.73,1.82,8.95,2.75,2.54,0.443,2.0,0.01,3.343,1.292,846.0,888.0,109.0,tempering,air,28.8,164.4,poor
78.5,1.053,0.17,1.33,9.5,5.9,2.08,0.877,0.39,0.19,4.173,1.935,781.0,776.0,-182.0,tempering,air,34.3,172.9,poor
86.82,0.788,1.39,0.99,1.02,2.97,1.07,0.691,4.05,0.2,1.722,1.136,750.0,853.0,102.0,annealing,furnace,27.2,79.9,poor
86.98,0.614,1.21,1.7,2.25,4.87,0.02,0.823,1.17,0.36,1.865,1.035,707.0,817.0,114.0,tempering,air,39.4,65.6,poor
79.44,1.085,1.31,1.05,6.82,6.76,0.65,0.015,2.39,0.48,3.24,1.704,770.0,676.0,-159.0,normalizing,air,41.0,117.9,poor
82.31,1.183,0.29,0.57,2.83,6.55,1.07,0.593,4.28,0.34,2.635,1.619,694.0,698.0,-137.0,quenching,oil,64.9,106.7,poor
70.93,0.627,0.52,0.3,12.2,7.76,2.89,0.299,4.14,0.34,4.295,1.638,840.0,777.0,-42.0,normalizing,air,42.0,199.3,poor
84.31,0.466,0.45,0.58,3.57,3.81,2.23,0.399,3.91,0.28,2.074,0.954,755.0,845.0,197.0,normalizing,air,29.8,120.0,poor
86.92,0.663,0.54,1.64,0.12,3.7,2.58,0.618,3.18,0.04,1.85,1.067,685.0,858.0,122.0,quenching,oil,68.0,127.6,poor
