Fe,C,Si,Mn,Cr,Ni,Mo,N,steel_type,PREN,CPT_C,corrosion_rate_mm_year,corrosion_resistance,environment
96.56,0.395,0.96,1.57,0.04,0.48,0.0,0.0,carbon,0.0,-20.0,0.2457,low,seawater
97.33,0.403,0.7,0.79,0.44,0.33,0.0,0.0,carbon,0.4,-20.0,0.1034,low,seawater
97.82,0.407,0.86,0.71,0.17,0.04,0.0,0.0,carbon,0.2,-20.0,0.1927,low,industrial
90.98,0.345,0.88,1.34,4.38,1.59,0.48,0.0,low_alloy,6.0,-20.0,0.1933,low,acidic
92.99,0.209,0.41,1.03,2.05,2.98,0.34,0.0,low_alloy,3.2,-12.5,0.2787,low,seawater
63.81,0.122,0.57,1.08,18.74,12.87,2.76,0.047,stainless,28.6,49.2,0.0061,good,industrial
93.38,0.215,0.68,1.96,1.9,1.06,0.8,0.0,low_alloy,4.6,-20.0,0.4575,low,acidic
97.69,0.197,0.57,0.84,0.34,0.36,0.0,0.0,carbon,0.3,-20.0,0.6627,low,seawater
97.16,0.217,0.77,1.4,0.11,0.36,0.0,0.0,carbon,0.1,-20.0,0.2905,low,atmospheric
63.93,0.031,0.3,1.05,26.56,5.92,2.04,0.17,duplex,36.0,58.6,0.0214,very_good,atmospheric
68.08,0.029,0.22,1.04,22.18,5.86,2.5,0.101,duplex,32.0,50.4,0.0023,very_good,industrial
73.62,0.132,0.8,0.69,14.19,10.02,0.54,0.009,stainless,16.1,10.6,0.0011,moderate,seawater
67.43,0.029,0.66,1.5,22.24,4.02,3.93,0.203,duplex,38.5,64.3,0.017,very_good,industrial
96.53,0.405,0.86,1.8,0.22,0.19,0.0,0.0,carbon,0.2,-20.0,0.3302,low,acidic
70.75,0.141,0.3,0.9,16.16,11.16,0.53,0.053,stainless,18.8,11.4,0.0078,moderate,industrial
94.87,0.26,0.54,1.98,1.6,0.13,0.62,0.0,low_alloy,3.7,-17.7,0.1025,low,industrial
97.95,0.178,0.66,0.7,0.29,0.22,0.0,0.0,carbon,0.3,-20.0,0.2221,low,industrial
91.64,0.112,0.58,0.58,3.46,2.86,0.78,0.0,low_alloy,6.0,-15.3,0.4708,low,acidic
63.71,0.038,0.64,0.87,26.63,4.92,2.91,0.273,duplex,40.6,73.1,0.0033,excellent,industrial
64.15,0.02,0.66,1.21,26.4,4.07,3.26,0.221,duplex,40.7,73.8,0.0162,excellent,atmospheric
70.07,0.021,0.8,0.79,20.2,4.59,3.33,0.199,duplex,34.4,60.6,0.0056,very_good,acidic
89.33,0.381,0.93,1.57,4.65,2.45,0.69,0.0,low_alloy,6.9,-12.2,0.1237,low,industrial
67.78,0.131,0.47,1.27,16.05,13.86,0.35,0.083,stainless,18.5,20.3,0.011,moderate,acidic
97.98,0.101,0.89,0.97,0.04,0.02,0.0,0.0,carbon,0.0,-20.0,0.4785,low,seawater
97.42,0.147,0.71,0.89,0.34,0.48,0.0,0.0,carbon,0.3,-20.0,0.2467,low,industrial
96.76,0.311,0.97,1.58,0.19,0.19,0.0,0.0,carbon,0.2,-20.0,0.264,low,seawater
92.12,0.172,0.95,0.8,4.53,1.15,0.28,0.0,low_alloy,5.5,-12.6,0.3737,low,atmospheric
67.03,0.14,0.96,0.53,18.66,11.64,0.94,0.099,stainless,23.4,25.1,0.003,good,industrial
96.76,0.124,0.62,1.57,0.5,0.43,0.0,0.0,carbon,0.5,-20.0,0.2627,low,industrial
71.64,0.13,0.75,1.85,13.86,9.68,1.9,0.196,stainless,23.3,29.5,0.0234,good,industrial
93.25,0.214,0.69,1.13,4.01,0.4,0.31,0.0,low_alloy,5.0,-11.8,0.6651,low,atmospheric
97.72,0.301,0.57,0.79,0.27,0.36,0.0,0.0,carbon,0.3,-20.0,0.1562,low,industrial
66.31,0.038,0.88,1.89,21.65,6.61,2.47,0.153,duplex,32.2,55.0,0.004,very_good,atmospheric
98.25,0.196,0.39,1.08,0.06,0.03,0.0,0.0,carbon,0.1,-20.0,0.191,low,acidic
65.65,0.029,0.22,0.94,24.79,5.73,2.39,0.247,duplex,36.6,61.9,0.0054,very_good,atmospheric
92.35,0.304,0.5,1.9,2.57,1.78,0.6,0.0,low_alloy,4.5,-18.2,0.1149,low,seawater
66.56,0.026,0.96,0.79,23.38,4.75,3.41,0.116,duplex,36.5,63.9,0.0118,very_good,industrial
66.19,0.052,0.35,1.75,19.47,9.11,2.88,0.194,stainless,32.1,47.3,0.0019,very_good,seawater
92.93,0.29,0.97,0.57,2.52,2.37,0.33,0.0,low_alloy,3.6,-20.0,0.113,low,seawater
63.96,0.047,0.61,1.21,25.57,5.96,2.54,0.103,duplex,35.6,63.6,0.014,very_good,seawater
93.75,0.179,0.83,1.54,3.13,0.45,0.12,0.0,low_alloy,3.5,-20.0,0.3921,low,acidic
67.51,0.047,0.43,0.77,20.93,7.48,2.7,0.121,duplex,31.8,52.7,0.005,very_good,atmospheric
92.58,0.368,0.35,1.28,3.34,1.09,0.99,0.0,low_alloy,6.6,-13.6,0.4186,low,acidic
68.84,0.041,0.91,0.82,21.87,4.68,2.55,0.293,duplex,35.0,55.9,0.01,very_good,seawater
97.91,0.486,0.31,0.61,0.38,0.3,0.0,0.0,carbon,0.4,-20.0,0.2813,low,atmospheric
94.48,0.354,0.98,1.69,1.95,0.12,0.42,0.0,low_alloy,3.3,-20.0,0.1852,low,atmospheric
69.22,0.089,0.87,1.49,17.25,10.59,0.43,0.051,stainless,19.5,16.4,0.0069,moderate,seawater
97.4,0.103,0.59,1.73,0.16,0.03,0.0,0.0,carbon,0.2,-20.0,0.3439,low,industrial
68.59,0.039,0.65,0.58,21.06,6.62,2.29,0.179,duplex,31.5,46.3,0.0027,very_good,seawater
97.5,0.285,0.48,1.21,0.43,0.09,0.0,0.0,carbon,0.4,-20.0,0.1593,low,industrial
95.42,0.252,0.47,0.52,0.89,1.88,0.57,0.0,low_alloy,2.8,-20.0,0.1448,low,acidic
91.5,0.16,0.72,1.53,3.1,2.14,0.86,0.0,low_alloy,5.9,-14.5,0.1605,low,atmospheric
66.54,0.024,0.97,1.95,23.4,4.38,2.54,0.197,duplex,34.9,57.5,0.0146,very_good,industrial
60.62,0.046,0.27,1.87,26.13,7.64,3.28,0.14,duplex,39.2,67.4,0.0077,very_good,industrial
74.21,0.138,0.9,1.18,14.3,6.23,2.98,0.062,stainless,25.1,31.5,0.0119,good,atmospheric
65.95,0.035,0.91,1.22,21.8,7.8,2.12,0.155,duplex,31.3,56.6,0.0017,very_good,seawater
67.04,0.048,0.79,1.19,21.9,5.52,3.36,0.147,duplex,35.4,63.9,0.0204,very_good,industrial
69.42,0.046,0.71,1.16,18.65,8.61,1.24,0.159,stainless,25.3,37.3,0.003,good,seawater
97.77,0.16,0.35,1.1,0.4,0.21,0.0,0.0,carbon,0.4,-20.0,0.1501,low,atmospheric
97.83,0.196,0.98,0.51,0.43,0.05,0.0,0.0,carbon,0.4,-20.0,0.6435,low,industrial
95.47,0.309,0.48,0.97,0.98,1.06,0.73,0.0,low_alloy,3.4,-19.5,0.1247,low,atmospheric
63.91,0.023,0.65,1.6,26.13,4.04,3.39,0.254,duplex,41.4,70.4,0.0058,excellent,atmospheric
65.2,0.049,0.81,1.5,24.56,4.79,2.9,0.199,duplex,37.3,73.5,0.0082,very_good,atmospheric
65.42,0.021,0.29,0.55,25.44,4.85,3.31,0.123,duplex,38.3,66.8,0.0055,very_good,industrial
98.0,0.35,0.21,0.89,0.31,0.24,0.0,0.0,carbon,0.3,-20.0,0.1231,low,seawater
67.26,0.027,0.95,0.63,23.15,5.41,2.29,0.292,duplex,35.4,58.2,0.0159,very_good,atmospheric
96.57,0.153,0.57,1.81,0.45,0.45,0.0,0.0,carbon,0.4,-20.0,0.3202,low,acidic
93.26,0.199,0.64,1.48,1.11,2.32,0.99,0.0,low_alloy,4.4,-20.0,0.1819,low,industrial
69.96,0.097,0.27,1.27,18.8,8.03,1.41,0.15,stainless,25.9,38.3,0.0026,good,industrial
97.8,0.407,0.47,0.79,0.12,0.42,0.0,0.0,carbon,0.1,-20.0,0.1143,low,seawater
68.71,0.04,0.97,0.56,22.5,4.28,2.66,0.264,duplex,35.5,58.3,0.0094,very_good,acidic
97.12,0.304,0.26,0.96,0.54,0.04,0.78,0.0,low_alloy,3.1,-20.0,0.2638,low,industrial
67.28,0.14,0.59,0.95,18.03,12.12,0.81,0.087,stainless,22.1,19.2,0.002,good,atmospheric
98.02,0.172,0.4,1.18,0.1,0.12,0.0,0.0,carbon,0.1,-20.0,0.5757,low,atmospheric
70.81,0.122,0.48,0.51,19.39,7.31,1.28,0.087,stainless,25.0,33.0,0.0179,good,industrial
64.42,0.05,0.41,0.88,25.41,6.32,2.31,0.203,duplex,36.3,58.7,0.007,very_good,seawater
91.76,0.126,0.86,1.91,3.18,1.73,0.43,0.0,low_alloy,4.6,-12.9,0.2252,low,industrial
68.25,0.085,0.96,0.89,17.78,11.34,0.67,0.013,stainless,20.2,25.8,0.0046,good,atmospheric
64.36,0.023,0.83,0.68,26.79,4.23,2.88,0.207,duplex,39.6,71.3,0.0068,very_good,atmospheric
70.89,0.061,0.92,1.44,18.23,6.04,2.25,0.162,stainless,28.2,36.6,0.036,good,industrial
62.23,0.08,0.89,1.84,19.54,12.58,2.7,0.137,stainless,30.7,37.4,0.002,very_good,industrial
96.58,0.233,0.73,1.84,0.22,0.4,0.0,0.0,carbon,0.2,-20.0,0.1064,low,atmospheric
73.16,0.114,0.25,1.56,14.41,9.7,0.66,0.155,stainless,19.1,11.1,0.0058,moderate,acidic
64.02,0.046,0.78,1.64,23.41,6.4,3.46,0.231,duplex,38.5,57.5,0.0038,very_good,industrial
97.39,0.488,0.38,1.51,0.18,0.06,0.0,0.0,carbon,0.2,-20.0,0.138,low,acidic
92.38,0.377,0.79,0.63,4.84,0.03,0.96,0.0,low_alloy,8.0,-1.6,0.7279,low,industrial
92.0,0.138,0.38,0.98,2.63,2.9,0.97,0.0,low_alloy,5.8,-19.0,0.5773,low,acidic
62.95,0.049,0.85,1.4,26.25,4.86,3.52,0.11,duplex,39.6,74.3,0.0178,very_good,atmospheric
69.46,0.039,0.94,0.98,21.8,4.1,2.45,0.235,duplex,33.6,53.9,0.0219,very_good,acidic
93.29,0.192,0.57,0.92,2.79,1.33,0.91,0.0,low_alloy,5.8,-20.0,0.1546,low,seawater
70.65,0.03,0.88,0.76,19.32,6.77,1.45,0.14,stainless,26.3,39.6,0.0068,good,acidic
94.87,0.177,0.53,0.78,1.87,1.76,0.02,0.0,low_alloy,1.9,-20.0,0.5051,low,atmospheric
93.19,0.343,0.81,1.99,2.37,0.53,0.76,0.0,low_alloy,4.9,-15.5,0.4037,low,seawater
93.56,0.197,0.62,1.92,2.53,0.38,0.79,0.0,low_alloy,5.1,-13.9,0.1148,low,acidic
66.24,0.13,0.97,0.86,19.93,9.32,2.43,0.126,stainless,30.0,57.5,0.0089,good,atmospheric
71.53,0.09,0.79,1.56,14.15,9.98,1.87,0.016,stainless,20.6,20.5,0.0016,good,atmospheric
66.25,0.024,0.2,1.94,24.53,4.19,2.75,0.117,duplex,35.5,63.6,0.0565,very_good,seawater
90.36,0.172,0.64,0.61,4.6,2.77,0.85,0.0,low_alloy,7.4,-12.3,0.1795,low,atmospheric
67.87,0.125,0.78,1.7,17.85,10.92,0.69,0.053,stainless,21.0,27.6,0.0022,good,seawater
65.73,0.04,0.84,0.92,22.72,6.25,3.23,0.255,duplex,37.5,58.4,0.0195,very_good,acidic
96.01,0.19,0.27,1.52,1.22,0.21,0.57,0.0,low_alloy,3.1,-20.0,0.3267,low,atmospheric
93.28,0.363,0.29,1.12,2.2,2.71,0.04,0.0,low_alloy,2.3,-20.0,0.2676,low,acidic
92.06,0.366,0.81,1.16,2.9,1.76,0.95,0.0,low_alloy,6.0,-14.5,0.2296,low,industrial
75.24,0.046,0.3,0.83,12.71,8.49,2.34,0.051,stainless,21.2,28.1,0.0127,good,seawater
68.45,0.137,0.73,1.92,15.61,10.11,2.85,0.196,stainless,28.1,48.2,0.0088,good,atmospheric
96.81,0.226,0.55,1.83,0.28,0.3,0.0,0.0,carbon,0.3,-20.0,0.1016,low,industrial
96.1,0.43,0.85,1.9,0.31,0.42,0.0,0.0,carbon,0.3,-20.0,0.1976,low,atmospheric
59.76,0.023,0.6,1.15,26.76,7.94,3.58,0.191,duplex,41.6,75.3,0.0015,excellent,industrial
61.2,0.033,1.0,1.66,26.49,6.9,2.58,0.144,duplex,37.3,54.0,0.0039,very_good,industrial
94.46,0.309,0.74,1.22,1.86,0.66,0.73,0.0,low_alloy,4.3,-18.5,0.5478,low,seawater
73.47,0.059,0.81,1.28,12.84,8.44,2.92,0.193,stainless,25.5,35.8,0.0162,good,seawater
98.13,0.101,0.41,0.8,0.25,0.3,0.0,0.0,carbon,0.3,-20.0,0.1316,low,acidic
65.12,0.033,0.9,1.05,22.47,7.23,3.01,0.176,duplex,35.2,50.9,0.0206,very_good,atmospheric
72.31,0.047,0.39,1.6,16.9,8.28,0.44,0.017,stainless,18.6,17.3,0.0041,moderate,atmospheric
96.84,0.192,0.23,1.98,0.31,0.44,0.0,0.0,carbon,0.3,-20.0,0.451,low,atmospheric
61.18,0.041,0.69,1.01,25.39,7.98,3.54,0.17,duplex,39.8,76.7,0.025,very_good,atmospheric
96.97,0.332,0.5,1.56,0.24,0.39,0.0,0.0,carbon,0.2,-20.0,0.2032,low,seawater
69.99,0.023,0.3,1.42,20.83,4.13,3.07,0.234,duplex,34.7,51.4,0.0062,very_good,atmospheric
68.07,0.022,0.7,1.77,13.18,13.97,2.2,0.093,stainless,21.9,26.3,0.0195,good,atmospheric
93.62,0.247,0.55,1.06,3.37,0.22,0.95,0.0,low_alloy,6.5,-13.5,0.1972,low,acidic
66.43,0.022,0.57,1.73,22.69,4.94,3.48,0.145,duplex,36.5,60.5,0.0257,very_good,atmospheric
90.95,0.229,0.91,1.9,3.07,2.07,0.87,0.0,low_alloy,6.0,-17.0,0.3754,low,acidic
97.59,0.451,0.72,0.51,0.46,0.25,0.0,0.0,carbon,0.5,-20.0,0.2701,low,industrial
90.54,0.389,0.52,1.54,4.56,2.39,0.06,0.0,low_alloy,4.7,-17.6,0.6855,low,acidic
91.89,0.392,0.54,1.03,3.89,1.31,0.95,0.0,low_alloy,7.0,-15.5,0.2189,low,atmospheric
97.63,0.467,0.92,0.57,0.18,0.23,0.0,0.0,carbon,0.2,-20.0,0.1945,low,acidic
90.13,0.226,0.87,1.6,3.9,2.78,0.49,0.0,low_alloy,5.5,-8.8,0.1803,low,seawater
74.09,0.107,0.47,0.88,12.19,9.17,2.98,0.127,stainless,24.1,27.9,0.0031,good,atmospheric
67.74,0.031,0.41,0.79,24.25,4.59,2.09,0.107,duplex,32.9,45.5,0.0087,very_good,atmospheric
91.55,0.197,0.44,1.96,4.25,1.51,0.09,0.0,low_alloy,4.6,-18.7,0.2313,low,atmospheric
95.63,0.259,0.95,0.71,1.54,0.34,0.57,0.0,low_alloy,3.4,-20.0,0.344,low,industrial
63.16,0.029,0.26,1.39,25.97,5.83,3.17,0.189,duplex,39.4,64.5,0.0101,very_good,atmospheric
93.35,0.163,0.96,0.76,4.01,0.11,0.65,0.0,low_alloy,6.1,-15.4,0.208,low,atmospheric
98.26,0.28,0.32,0.63,0.31,0.2,0.0,0.0,carbon,0.3,-20.0,0.4761,low,atmospheric
95.57,0.115,0.85,0.59,1.41,0.88,0.59,0.0,low_alloy,3.4,-17.6,0.1574,low,acidic
71.22,0.044,0.48,1.01,16.36,9.82,0.95,0.103,stainless,21.1,24.3,0.0069,good,seawater
77.56,0.022,0.54,0.99,13.21,6.34,1.29,0.045,stainless,18.2,7.0,0.0087,moderate,seawater
71.62,0.034,0.24,0.99,20.43,4.07,2.43,0.185,duplex,31.4,49.4,0.0018,very_good,seawater
95.78,0.14,0.4,0.87,1.0,0.98,0.83,0.0,low_alloy,3.7,-19.8,0.3253,low,seawater
